"TIPO_INSTITUCION","CARRERA","INSTITUCION","AREAS_CONOCIMIENTO","EMPLEABILIDAD_PRIMER_ANO","EMPLEABILIDAD_SEGUNDO_ANO","REGION_MAYOR_NUMERO_TITULADOS","N_MATRICULADOS_PRIMER_ANO","N_MATRICULADOS_TOTAL","ESTUDIANTES_MUNICIPALES","ESTUDIANTES_PARTICULAR_SUBVENCIONADO","ESTUDIANTES_PARTICULAR_PAGADO","PORCENTAJE_ESTUDIANTES_PSU","PROMEDIO_PSU","PROMEDIO_NEM","TASA_RETENCION_PRIMER_ANO","TASA_RETENCION_SEGUNDO_ANO","N_TITULADOS","DURACION_ESPERADA","DURACION_REAL","PROMEDIO_ARANCEL","DIRECCION_CASA_CENTRAL","INGRESO_ANO_1","INGRESO_ANO_2","INGRESO_ANO_3","INGRESO_ANO_4","INGRESO_ANO_5","INGRESO_ANO_6","INGRESO_ANO_7","INGRESO_ANO_8"
"Universidad Particular con Aporte del Estado","Pedagogía en Castellano","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Educación","72,9%","84,6%","V. Valparaíso",53,317,"27,6%","59,5%","12,9%","> 80% a 100%",600,"5,9","91,00%","78,20%",29,9,"12,9",1747000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Particular con Aporte del Estado","Pedagogía en Castellano","UNIVERSIDAD AUSTRAL DE CHILE","Educación","81,3%","93,5%","XIV. Los Ríos",43,164,"54,3%","41,7%","4,0%","> 80% a 100%",573,6,"No Disponible","No Disponible",37,8,"12,2",1900000,"Independencia 641, Valdivia",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Privada","Pedagogía en Castellano","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Educación","91,5%","92,9%","RM. Región Metropolitana",38,225,"18,0%","79,0%","3,0%","> 60% a 80%",531,"5,6","85,30%","68,90%",46,10,"11,5",2131250,"General Jofré 462, Santiago",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Particular con Aporte del Estado","Pedagogía en Castellano","UNIVERSIDAD DE CONCEPCIÓN","Educación","80,2%","85,3%","VIII. Bío Bío",48,261,"45,1%","52,2%","2,7%","> 80% a 100%",593,"6,2","No Disponible","No Disponible",23,10,"12,1",1511000,"Calle Víctor Lamas 1290, Concepción",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Estatal","Pedagogía en Castellano","UNIVERSIDAD DE LA FRONTERA","Educación","87,5%","81,0%","IX. La Araucanía",43,189,"47,1%","52,9%","0,0%","> 80% a 100%",551,"5,7","No Disponible","No Disponible",67,10,"11,8",1442000,"Avenida Francisco Salazar 01145, Temuco",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Estatal","Pedagogía en Castellano","UNIVERSIDAD DE LA SERENA","Educación","83,3%","88,1%","IV. Coquimbo",42,215,"36,6%","62,4%","1,0%","> 80% a 100%",559,"5,9","No Disponible","No Disponible",38,9,"10,4",1535520,"Benavente 980,La Serena",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Estatal","Pedagogía en Castellano","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Educación","87,0%","87,8%","V. Valparaíso",108,423,"36,1%","61,4%","2,5%","> 80% a 100%",551,"5,7","81,50%","74,10%",51,10,"12,9",1536000," Av. Playa Ancha 850, Valparaiso",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Estatal","Pedagogía en Castellano","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Educación","83,3%","78,3%","RM. Región Metropolitana",71,309,"38,1%","59,3%","2,6%","> 80% a 100%",606,6,"78,00%","63,30%",45,10,"14,2",1675000,"Avenida José Pedro Alessandri 774, Santiago",421937,469448,506409,537003,569608,598208,621558,686019
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Educación","83,2%","91,3%","RM. Región Metropolitana",221,1055,"22,9%","41,1%","36,0%","> 80% a 100%",611,"6,2","94,90%","90,70%",148,9,"10,9",2963000,"Avda Libertador Bernardo O Higgins 340",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Educación","80,0%","78,1%","V. Valparaíso",79,273,"31,9%","58,0%","10,1%","> 80% a 100%",571,6,"91,00%","83,70%",52,9,"10,9",1747000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO","Educación","84,3%","88,6%","RM. Región Metropolitana",65,195,"31,6%","66,2%","2,3%","> 60% a 80%",507,"5,6","No Disponible","No Disponible",138,10,12,1731000,"Condell 343, Providencia, Santiago de Chile",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD ARTURO PRAT","Educación","78,0%","86,0%","RM. Región Metropolitana",86,594,"37,4%","62,0%","0,6%","> 60% a 80%",492,"5,7","No Disponible","No Disponible",1604,13,"13,1",1498667,"Av. Arturo Prat 2120, Iquique",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Educación","86,8%","85,9%","VIII. Bío Bío",79,293,"58,1%","41,5%","0,4%","> 80% a 100%",522,"5,8","96,90%","92,20%",72,9,"9,3",1465000,"Calle Caupolican 491  Concepción",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","UNIVERSIDAD CATÓLICA DE TEMUCO","Educación","82,5%","85,9%","IX. La Araucanía",103,522,"53,1%","45,8%","1,1%","> 80% a 100%",508,"5,6","89,20%","81,10%",88,9,"10,8",1585333,"Manuel Montt Nro. 56, Temuco",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","UNIVERSIDAD CATÓLICA DEL MAULE","Educación","94,9%","90,6%","VII. Maule",122,564,"53,4%","44,9%","1,7%","> 80% a 100%",562,6,"93,70%","89,10%",67,10,"10,8",1825000,"Avda. San Miguel 3605, Talca",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Educación","85,6%","91,5%","RM. Región Metropolitana",127,737,"17,1%","79,7%","3,2%","> 60% a 80%",514,"5,6","82,90%","62,40%",95,8,"9,4",2131250,"General Jofré 462, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD CENTRAL DE CHILE","Educación","74,0%","75,6%","RM. Región Metropolitana",78,304,"25,1%","69,2%","5,6%","> 60% a 80%",501,"5,5","81,70%","71,70%",106,8,"10,1",2240000,"Lord Cochrane 416, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD DE ACONCAGUA","Educación","38,6%","58,5%","VI. Libertador General Bernardo O' Higgins",39,223,"56,8%","43,2%","0,0%","> 20% a 40%",479,"5,6","No Disponible","No Disponible",37,11,"11,1",1376250,"Rancagua 446  Los Andes, Valparaíso",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE ANTOFAGASTA","Educación","91,7%","93,3%","II. Antofagasta",43,185,"54,0%","41,4%","4,6%","> 80% a 100%",494,"5,6","No Disponible","No Disponible",50,8,"9,8",1981000,"Avenida Angamos 601, Antofagasta",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE ATACAMA","Educación","93,7%","100,0%","III. Atacama",26,145,"55,9%","42,6%","1,5%","> 80% a 100%",535,"5,7","No Disponible","No Disponible",21,10,"10,1",1945000,"Copayapu 485 ,Copiapó",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD DE CIENCIAS DE LA INFORMÁTICA","Educación","79,7%","86,2%","RM. Región Metropolitana",47,295,"24,9%","72,8%","2,3%","> 20% a 40%",434,"5,3","71,80%","60,00%",148,6,10,1255000,"Pedro de Valdivia 450, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Básica","UNIVERSIDAD DE CONCEPCIÓN","Educación","92,7%","89,3%","VIII. Bío Bío",170,631,"70,7%","28,6%","0,7%","> 80% a 100%",543,"5,9","96,50%","92,90%",149,10,"10,7",1563500,"Calle Víctor Lamas 1290, Concepción",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE LA SERENA","Educación","86,8%","89,5%","IV. Coquimbo",64,275,"46,5%","53,5%","0,0%","> 80% a 100%",537,"5,9","85,40%","73,40%",44,8,"7,9",1535520,"Benavente 980,La Serena",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD DE LAS AMÉRICAS","Educación","64,7%","82,3%","RM. Región Metropolitana",322,1088,"37,5%","60,6%","1,9%","> 20% a 40%",461,"5,6","62,40%","51,30%",152,9,"10,3",1719867,"Avenida Manuel Montt 948, Providencia, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE LOS LAGOS","Educación","79,3%","82,5%","RM. Región Metropolitana",49,475,"58,8%","41,2%","0,0%","> 60% a 80%",513,"5,6","87,30%","76,40%",555,,,1505500,"Avenida Fuchslocher 1305, Osorno, Chile",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Educación","84,7%","88,6%","V. Valparaíso",132,646,"39,8%","56,1%","4,1%","> 60% a 80%",530,"5,7","89,40%","86,10%",341,10,"11,5",1536000," Av. Playa Ancha 850, Valparaiso",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD DE TARAPACÁ","Educación","80,0%","82,7%","XV. Arica y Parinacota",65,321,"44,4%","54,1%","1,5%","> 80% a 100%",512,"5,6","74,40%","60,30%",94,10,"10,1",1700333," General Velásquez 1775. Arica",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD DEL MAR","Educación","76,9%","86,7%","V. Valparaíso",247,817,"49,0%","48,3%","2,7%","> 20% a 40%",418,"5,5","63,40%","40,50%",331,8,"9,7",1663912,"Angamos 680, Reñaca Viña del Mar, Chile",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Estatal","Pedagogía en Educación Básica","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Educación","84,2%","91,5%","RM. Región Metropolitana",125,576,"37,9%","60,6%","1,5%","> 80% a 100%",573,6,"83,10%","80,90%",79,10,"11,8",1663750,"Avenida José Pedro Alessandri 774, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Educación","83,8%","87,2%","RM. Región Metropolitana",154,498,"21,3%","65,2%","13,5%","> 40% a 60%",491,"5,6","72,80%","62,90%",205,8,"9,9",2175460,"Av. República 237, Santiago",389661,426069,458143,450100,468662,481330,499472,528586
"Universidad Privada","Pedagogía en Educación Básica","UNIVERSIDAD SAN SEBASTIÁN","Educación","63,9%","82,2%","VIII. Bío Bío",313,901,"53,8%","45,0%","1,1%","> 60% a 80%",508,"5,5","82,80%","77,40%",139,8,"8,9",1609060,"General Cruz 1577, Concepción",389661,426069,458143,450100,468662,481330,499472,528586
"Instituto Profesional","Pedagogía en Educación de Párvulos","IP DE CHILE","Educación","59,2%","71,4%","RM. Región Metropolitana",521,1038,"38,3%","61,2%","0,5%","> 20% a 40%",399,"5,5","53,70%","44,60%",77,9,"9,5",982382,"República 285, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Instituto Profesional","Pedagogía en Educación de Párvulos","IP DE ENAC","Educación","76,5%","73,9%","RM. Región Metropolitana",,72,"23,1%","76,9%","0,0%",,,,"42,60%","27,80%",31,9,"11,3",834500,"Alameda 2182, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Instituto Profesional","Pedagogía en Educación de Párvulos","IP DEL VALLE CENTRAL","Educación","48,2%","54,5%","RM. Región Metropolitana",245,430,"52,4%","47,3%","0,3%","> 20% a 40%",391,"5,5","57,90%","24,80%",56,8,"9,7",898333,"Barros Arana 160, Concepcion, Chile",295189,336778,362939,387884,408892,437278,450953,495206
"Instituto Profesional","Pedagogía en Educación de Párvulos","IP DIEGO PORTALES","Educación","45,6%","58,2%","VIII. Bío Bío",274,528,"60,0%","40,0%","0,0%",,366,"5,4","68,00%","58,00%",109,8,"10,4",692000,"Av. Salvador 1916, Ñuñoa, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Instituto Profesional","Pedagogía en Educación de Párvulos","IP LOS LEONES","Educación","56,9%","71,6%","RM. Región Metropolitana",1181,2694,"28,4%","71,1%","0,5%","> 20% a 40%",390,"5,4","52,80%","44,20%",190,8,11,857000,"Arturo Prat N° 285, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación de Párvulos","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Educación","85,9%","82,1%","RM. Región Metropolitana",70,427,"14,6%","45,0%","40,4%","> 80% a 100%",620,"6,1","86,60%","82,10%",70,8,"10,3",2963000,"Avda Libertador Bernardo O Higgins 340",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación de Párvulos","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Educación","66,7%","85,2%","V. Valparaíso",54,182,"20,7%","60,9%","18,3%","> 80% a 100%",566,"5,9","No Disponible","No Disponible",39,8,"10,5",1747000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD ARTURO PRAT","Educación","73,6%","77,7%","RM. Región Metropolitana",24,163,"48,6%","51,4%","0,0%","> 80% a 100%",436,"5,8","No Disponible","No Disponible",365,11,"12,9",1300000,"Av. Arturo Prat 2120, Iquique",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación de Párvulos","UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Educación","61,3%","89,2%","VIII. Bío Bío",52,249,"52,4%","43,1%","4,4%","> 80% a 100%",517,"5,7","89,40%","86,40%",42,9,"10,2",1755000,"Calle Caupolican 491  Concepción",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación de Párvulos","UNIVERSIDAD CATÓLICA DEL MAULE","Educación","86,8%","84,6%","VII. Maule",51,201,"38,9%","54,4%","6,7%","> 80% a 100%",524,6,"No Disponible","No Disponible",50,10,"11,1",1825000,"Avda. San Miguel 3605, Talca",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Educación","62,5%","79,5%","RM. Región Metropolitana",30,155,"15,5%","76,1%","8,5%","> 60% a 80%",506,"5,6","No Disponible","No Disponible",33,8,"9,7",2131250,"General Jofré 462, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD CENTRAL DE CHILE","Educación","71,0%","90,9%","RM. Región Metropolitana",34,166,"12,1%","71,8%","16,1%","> 60% a 80%",478,"5,5","88,00%","70,00%",41,8,"10,5",1925500,"Lord Cochrane 416, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE ANTOFAGASTA","Educación","71,0%","76,0%","II. Antofagasta",50,200,"45,8%","41,6%","12,6%","> 80% a 100%",502,"5,6","No Disponible","No Disponible",40,9,"12,8",1938000,"Avenida Angamos 601, Antofagasta",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE CIENCIAS DE LA INFORMÁTICA","Educación","63,2%","70,2%","RM. Región Metropolitana",68,278,"19,5%","73,3%","7,2%","> 20% a 40%",421,"5,5","72,50%","46,80%",62,8,"10,5",1195000,"Pedro de Valdivia 450, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE CONCEPCIÓN","Educación","81,4%","97,1%","VIII. Bío Bío",87,410,"57,2%","39,7%","3,1%","> 80% a 100%",527,"5,7","84,90%","81,10%",64,10,"12,7",1563500,"Calle Víctor Lamas 1290, Concepción",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE LAS AMÉRICAS","Educación","49,2%","68,5%","RM. Región Metropolitana",161,503,"31,3%","63,4%","5,2%","> 40% a 60%",413,"5,5","70,30%","58,50%",79,8,"10,2",1712764,"Avenida Manuel Montt 948, Providencia, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Educación","64,0%","82,5%","V. Valparaíso",91,305,"28,1%","68,5%","3,3%","> 80% a 100%",518,"5,6","80,80%","79,00%",45,10,"12,7",1536000," Av. Playa Ancha 850, Valparaiso",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD DE TARAPACÁ","Educación","42,7%","62,5%","XV. Arica y Parinacota",57,262,"47,5%","51,6%","0,9%","> 80% a 100%",502,"5,8","72,30%","59,80%",31,9,"12,9",1700333," General Velásquez 1775. Arica",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD DEL BÍO-BÍO","Educación","64,9%","81,1%","VIII. Bío Bío",42,180,"40,5%","58,9%","0,6%","> 80% a 100%",513,"5,7","No Disponible","No Disponible",42,8,"9,2",1657000,"Avda. Collao 1202, Concepción",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD DEL MAR","Educación","74,8%","73,5%","II. Antofagasta",445,957,"47,3%","50,3%","2,4%","> 20% a 40%",405,"5,6","65,40%","49,80%",214,8,"10,1",1714555,"Angamos 680, Reñaca Viña del Mar, Chile",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Estatal","Pedagogía en Educación de Párvulos","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Educación","77,1%","86,5%","RM. Región Metropolitana",94,436,"27,2%","69,5%","3,3%","> 80% a 100%",554,"5,9","74,80%","73,70%",60,10,"12,5",1675000,"Avenida José Pedro Alessandri 774, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Privada","Pedagogía en Educación de Párvulos","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Educación","75,3%","81,7%","RM. Región Metropolitana",194,597,"12,9%","53,0%","34,1%","> 40% a 60%",486,"5,5","80,30%","69,80%",141,8,"10,2",2184610,"Av. República 237, Santiago",295189,336778,362939,387884,408892,437278,450953,495206
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Diferencial","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Educación","93,1%","95,0%","V. Valparaíso",64,291,"28,0%","59,8%","12,1%","> 80% a 100%",589,"6,1","89,40%","80,40%",53,9,"12,2",1864000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Diferencial","UNIVERSIDAD CATÓLICA DE TEMUCO","Educación","91,0%","100,0%","IX. La Araucanía",105,393,"44,3%","54,6%","1,1%","> 80% a 100%",531,"5,8","92,20%","88,80%",55,10,"10,4",1780000,"Manuel Montt Nro. 56, Temuco",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Diferencial","UNIVERSIDAD CATÓLICA DEL MAULE","Educación","94,4%","98,1%","VII. Maule",49,266,"50,6%","46,7%","2,7%","> 80% a 100%",556,"6,2","98,30%","98,30%",51,10,"12,3",1875000,"Avda. San Miguel 3605, Talca",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Privada","Pedagogía en Educación Diferencial","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Educación","91,1%","95,8%","RM. Región Metropolitana",60,261,"17,5%","77,6%","4,9%","> 80% a 100%",509,"5,6","91,30%","82,50%",42,9,"10,3",2131250,"General Jofré 462, Santiago",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Diferencial","UNIVERSIDAD DE CONCEPCIÓN","Educación","96,6%","96,7%","VIII. Bío Bío",95,438,"64,3%","34,2%","1,5%","> 80% a 100%",556,6,"96,40%","89,10%",208,10,"11,6",1511000,"Calle Víctor Lamas 1290, Concepción",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Estatal","Pedagogía en Educación Diferencial","UNIVERSIDAD DE LA SERENA","Educación","91,8%","91,9%","IV. Coquimbo",43,230,"37,4%","62,1%","0,5%","> 80% a 100%",550,"6,2","No Disponible","No Disponible",22,9,10,1535520,"Benavente 980,La Serena",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Estatal","Pedagogía en Educación Diferencial","UNIVERSIDAD DE LOS LAGOS","Educación","97,9%","98,0%","X. Los Lagos",34,167,"60,9%","38,4%","0,7%","> 80% a 100%",507,"5,6","No Disponible","No Disponible",20,8,11,1399000,"Avenida Fuchslocher 1305, Osorno, Chile",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Estatal","Pedagogía en Educación Diferencial","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Educación","96,7%","95,3%","V. Valparaíso",76,371,"33,6%","64,2%","2,2%","> 80% a 100%",541,"5,8","93,50%",,106,10,"11,8",1536000," Av. Playa Ancha 850, Valparaiso",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Privada","Pedagogía en Educación Diferencial","UNIVERSIDAD DEL MAR","Educación","97,0%","93,3%","RM. Región Metropolitana",143,316,"50,2%","48,2%","1,6%","> 20% a 40%",415,"5,5","No Disponible","No Disponible",37,9,9,1611339,"Angamos 680, Reñaca Viña del Mar, Chile",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Estatal","Pedagogía en Educación Diferencial","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Educación","93,5%","93,8%","RM. Región Metropolitana",103,485,"30,9%","64,0%","5,1%","> 80% a 100%",593,6,"86,20%","79,80%",45,10,"12,4",1675000,"Avenida José Pedro Alessandri 774, Santiago",398138,446072,458183,464379,474166,491129,513978,540702
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Física","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Educación","75,3%","84,0%","V. Valparaíso",73,356,"20,8%","55,0%","24,2%","> 80% a 100%",589,6,"84,50%","81,90%",58,9,"12,7",1747000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Privada","Pedagogía en Educación Física","UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ","Educación","82,4%","83,9%","RM. Región Metropolitana",144,752,"15,1%","76,6%","8,3%","> 60% a 80%",514,"5,5","82,40%","65,50%",128,10,"11,4",2282720,"General Jofré 462, Santiago",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Particular con Aporte del Estado","Pedagogía en Educación Física","UNIVERSIDAD DE CONCEPCIÓN","Educación","67,5%","82,4%","VIII. Bío Bío",83,411,"52,3%","42,0%","5,7%","> 80% a 100%",566,"6,1","91,90%","86,50%",66,10,"12,7",1511000,"Calle Víctor Lamas 1290, Concepción",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Estatal","Pedagogía en Educación Física","UNIVERSIDAD DE LA FRONTERA","Educación","81,7%","100,0%","IX. La Araucanía",68,289,"43,6%","56,0%","0,4%","> 80% a 100%",553,"5,9","88,90%","85,80%",65,10,"11,9",1362667,"Avenida Francisco Salazar 01145, Temuco",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Estatal","Pedagogía en Educación Física","UNIVERSIDAD DE LOS LAGOS","Educación","86,0%","87,0%","X. Los Lagos",85,463,"55,8%","41,6%","2,6%","> 60% a 80%",506,"5,5","82,80%","73,20%",22,9,12,1331000,"Avenida Fuchslocher 1305, Osorno, Chile",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Estatal","Pedagogía en Educación Física","UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN","Educación","81,3%","84,7%","V. Valparaíso",119,450,"24,8%","70,1%","5,1%","> 80% a 100%",565,"5,7","94,30%","87,40%",72,10,"11,9",1536000," Av. Playa Ancha 850, Valparaiso",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Estatal","Pedagogía en Educación Física","UNIVERSIDAD DE TARAPACÁ","Educación","80,7%","85,7%","XV. Arica y Parinacota",56,288,"57,3%","41,9%","0,8%","> 80% a 100%",510,"5,6","81,10%","62,20%",62,10,"11,8",1597000," General Velásquez 1775. Arica",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Estatal","Pedagogía en Educación Física","UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN","Educación","82,9%","87,6%","RM. Región Metropolitana",104,529,"27,2%","58,6%","14,2%","> 80% a 100%",600,"6,1","87,80%","81,20%",93,10,"12,1",1675000,"Avenida José Pedro Alessandri 774, Santiago",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Privada","Pedagogía en Educación Física","UNIVERSIDAD NACIONAL ANDRÉS BELLO","Educación","72,7%","85,7%","RM. Región Metropolitana",522,1739,"17,8%","55,2%","27,0%","> 60% a 80%",504,"5,4","78,00%","63,90%",323,8,"10,4",2687413,"Av. República 237, Santiago",417302,455405,483385,510437,543896,578661,594220,638720
"Universidad Particular con Aporte del Estado","Periodismo","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Humanidades","83,9%","93,3%","RM. Región Metropolitana",120,677,"7,3%","20,3%","72,4%","> 80% a 100%",679,"6,4","96,70%","92,50%",107,9,"11,9",3703000,"Avda Libertador Bernardo O Higgins 340",542376,605264,669515,693072,768766,837352,918830,972506
"Universidad Particular con Aporte del Estado","Periodismo","PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Humanidades","87,3%","82,2%","V. Valparaíso",55,241,"13,8%","47,8%","38,4%","> 80% a 100%",609,"6,1","No Disponible","No Disponible",23,10,"14,2",2612000,"Brasil 2241  Valparaíso 2362807, Quinta Región de Valparaíso",542376,605264,669515,693072,768766,837352,918830,972506
